"dataset","No_of_Cities","tour_length","TC_mean","TC_vc","TC_skew","LMTL_mean","LMTL_vc","LMTL_skew","IPS_mean","IPS_vc","IPS_skew","STLM_mean","STLM_vc","STLM_skew","DBLM_mean","DBLM_vc","DBLM_skew","POELM_mean","POELM_vc","POELM_skew","IPC_mean","IPC_vc","IPC_skew","Ratio_UBLB","Pct_int","Pct_nonint","Min_nonint","Max_nonint","q25_nonint","q50_nonint","q75_nonint"
"rat99.tsp",99,2155.289886,1211,0,NA,1211,0,NA,3,0,NA,6.7,52.84687064,0.6746159204,0.9898989899,0,NA,0.0101010101,0,NA,"-0.04445723871",-2186.205158,-0.07988774649,1.007208207,0.8425925926,0.1574074074,0.666667,0.333333,0.333333,0.333333,0.666667
"rd100.tsp",100,50560.85527,7910,0,NA,7910,0,NA,7.08,0.4115506384,-1.388918194,4.1,75.85987039,0.9087458066,0.99,0,NA,0.01,0,NA,"0.671938861",1698.615729,2.80797303,1.043329156,1,0,-Inf,Inf,NA,NA,NA
"rd400.tsp",400,215563.6159,15309.8,0.001534265848,0.5823927529,15309.8,0.001534265848,0.5823927529,2.151408451,0.1029750845,-0.5823927529,69.75,29.13373867,-0.3960982925,0.9975,0,NA,0.0025,0,NA,"-0.1361731697",-1307.026102,3.715948991,1.014591762,0.6376518219,0.3623481781,0.988636,0.011364,0.052083,0.447917,0.8797345
"rl11849.tsp",11849,86621261.38,941520.6,0.001872248463,0.5435115388,941520.6,0.001872248463,0.5435115388,74.98894934,0.1828522898,0.3035170255,99.05,1.653258689,-1.783613128,0.9999156047,0,NA,8.44e-05,0,NA,"rl11849.tsp",11849,86621261.38,941520.6,0.001872248463,0.5435115388,941520.6,0.001872248463,0.5435115388,74.98894934,0.1828522898
"rl1304.tsp",1304,3231697.339,256127,0.008027504393,0,256127,0.008027504393,0,78.39860566,0.0271326954,0,94.4,7.680517306,-2.64833219,0.9992331288,0,NA,0.0007668711656,0,NA,"6.229477447",1481.899457,2.822508966,1.056533079,1,0,-Inf,Inf,NA,NA,NA
"rl1323.tsp",1323,3088180.389,272351.95,0.002742300317,1.06488414,272351.95,0.002742300317,1.06488414,70.71654412,0.4599250749,-0.9000413139,88.4,12.32324116,-1.042814887,0.9992441421,0,NA,0.0007558578987,0,NA,"8.399879595",1055.979015,3.295843772,1.049086464,0.5771971496,0.4228028504,0.999999,0.000104,0.0094955,0.471686,0.996653
"rl1889.tsp",1889,6601297.574,320398.7,0.001095118555,-0.03840534566,320398.7,0.001095118555,-0.03840534566,48.18252109,0.1100575939,-1.111825603,92.45,7.595816978,-0.9673451595,0.9994706194,0,NA,0.0005293806247,0,NA,"77.28929337",642.7327416,5.711356463,1.046581141,0.5279578606,0.4720421394,0.999998,1e-04,0.003064,0.48913,0.997694
"rl5915.tsp",5915,10145047.12,576147.65,0.002897264707,-0.1606954541,576147.65,0.002897264707,-0.1606954541,97.2362832,0.2192114891,-0.3439245396,97,2.877281299,-1.076350423,0.9998309383,0,NA,0.0001690617075,0,NA,"3.256159833",2181.595124,3.31223526,1.03973885,0.5279578606,0.4720421394,0.999998,1e-04,0.003064,0.48913,0.997694
"rl5934.tsp",5934,9861360.324,564843.1,0.0001263940989,0.1839254557,564843.1,0.0001263940989,0.1839254557,54.66927066,0.3332482907,1.565814587,98.35,2.244073343,-1.902375491,0.9998314796,0,NA,0.000168520391,0,NA,"0.006820148306",859420.6614,2.992092962,1.037271958,0.5279578606,0.4720421394,0.999998,1e-04,0.003064,0.48913,0.997694
"si1032.tsp",1032,336617,92901.55,0.0002163124039,0.7964878283,92901.55,0.0002163124039,0.7964878283,2.676454589,0.09974869514,-2.500437018,77,18.17205089,-0.5734820384,0.9990310078,0,NA,0.0009689922481,0,NA,"0.8530706165",1105.220449,3.737752209,1.003429836,1,0,-Inf,Inf,NA,NA,NA
"si175.tsp",175,46937,21414,0.0002195583945,-0.8082314614,21414,0.0002195583945,-0.8082314614,2.15345787,0.419389568,-0.8082314614,57,37.29875724,0.1855946536,0.9942857143,0,NA,0.005714285714,0,NA,"0.02090272222",19710.82947,7.882815391,1.007899464,0.5892857143,0.4107142857,0.916667,0.083333,0.416667,0.5,0.5520835
"si535.tsp",535,153302,48742.85,0.0006925749921,-0.156488483,48742.85,0.0006925749921,-0.156488483,2.74343369,0.1241888221,3.576452373,85.25,12.74155406,-0.1883055829,0.9981308411,0,NA,0.001869158879,0,NA,"-0.2055860983",-1753.388195,2.363520966,1.010347268,0.8406779661,0.1593220339,0.994949,0.005051,0.181818,0.4646465,0.5
"st70.tsp",70,3410.556215,675,0,NA,675,0,NA,7,0,NA,7.15,97.98356146,1.294329717,0.9857142857,0,NA,0.01428571429,0,NA,"-0.02939284964",-3904.607628,1.450924298,1.025835866,1,0,-Inf,Inf,NA,NA,NA
